TID,EN,ydZH
String,String,String
TID_COOKIES,#Number# Cookies,
TID_COOKIES_BAKED,#Number# Cookies Baked.,
TID_COOKIES_CLICKED,#Number# Cookies Clicked.,
TID_CPS,+#Number# Cookies per secend!,
TID_CURSOR_DISPLAYNAME,Cursor,光标
TID_CURSOR_DESC,Autoclicks once every 10 seconds.,Autoclicks每隔10秒。
TID_GRANDMA_DISPLAYNAME,Grandma,奶奶
TID_GRANDMA_DESC,A nice grandma to bake more cookies.,一个漂亮的奶奶烘烤饼干。
TID_FARM_DISPLAYNAME,Farm,农场
TID_FARM_DESC,Grows cookie plants from cookie seeds.,生长植物甜饼种子。
TID_FACTORY_DISPLAYNAME,Factory,工厂
TID_FACTORY_DESC,Produces large quantities of cookies.,产生大量的饼干。
TID_MINE_DISPLAYNAME,Mine,我的
TID_MINE_DESC,Mines out cookie dough and chocolate chips.,矿山饼干面团和巧克力。
TID_SHIPMENT_DISPLAYNAME,Shipment,装运
TID_SHIPMENT_DESC,Brings in fresh cookies from the cookie planet.,带来新鲜的曲奇饼干的星球。
TID_ALCHEMY_LAB_DISPLAYNAME,Alchemy lab,炼金术实验室
TID_ALCHEMY_LAB_DESC,Turns gold into cookies!,把黄金变成饼干!
TID_PORTAL_DISPLAYNAME,Portal,门户网站
TID_PORTAL_DESC,Opens a door to the Cookieverse.,Cookieverse打开一扇门。
TID_TIME_MACHINE_DISPLAYNAME,Time machine,时间机器
TID_TIME_MACHINE_DESC,"Brings cookies from the past, before they were even eaten.",从过去带来的饼干
TID_ANTIMATTER_CONDENSER_DISPLAYNAME,Antimatter condenser,反物质冷凝器
TID_ANTIMATTER_CONDENSER_DESC,Condenses the antimatter in the universe into cookies.,凝结的反物质宇宙成饼干。
TID_PRISM_DISPLAYNAME,Prism,棱镜
TID_PRISM_DESC,Converts light itself into cookies.,将光转换成饼干。
TID_UPGRADE_DISPLAYNAME_REINFORCED_INDEX_FINGER,Reinforced index finger,钢筋食指
TID_UPGRADE_DESC_REINFORCED_INDEX_FINGER,The mouse gains +1 cookie per click.Cursors gain +0.1 base CpS.prod prod,每点击鼠标收益1饼干。CpS游标获得0.1基地。戳戳
TID_UPGRADE_DISPLAYNAME_CARPAL_TUNNEL_PREVENTION_CREAM,Carpal tunnel prevention cream,腕管预防奶油
