TID,EN,ZH
String,String,String
TID_COOKIES,#Number# Cookies,#Number# 饼干
TID_CPS,+#Number# Cookies per secend!,+#Number# 饼干每秒
TID_CURSOR_DISPLAYNAME,Cursor,鼠标
TID_CURSOR_DESC,Autoclicks once every 10 seconds.,每10秒点一次
TID_GRANDMA_DISPLAYNAME,Grandma,奶奶
TID_GRANDMA_DESC,A nice grandma to bake more cookies.,会做饼干的老奶奶~
TID_FARM_DISPLAYNAME,Farm,农场
TID_FARM_DESC,Grows cookie plants from cookie seeds.,种饼干得饼干
TID_FACTORY_DISPLAYNAME,Factory,工厂
TID_FACTORY_DESC,Produces large quantities of cookies.,现代化的饼干工厂
TID_MINE_DISPLAYNAME,Mine,矿
TID_MINE_DESC,Mines out cookie dough and chocolate chips.,蕴含丰富的饼干原料
TID_SHIPMENT_DISPLAYNAME,Shipment,饼干火箭
TID_SHIPMENT_DESC,Brings in fresh cookies from the cookie planet.,从遥远的饼干星球运来新鲜的饼干
TID_ALCHEMY_LAB_DISPLAYNAME,Alchemy lab,炼金室
TID_ALCHEMY_LAB_DESC,Turns gold into cookies!,30克金+30克硒=1kg饼干
TID_PORTAL_DISPLAYNAME,Portal,宇宙之门
TID_PORTAL_DESC,Opens a door to the Cookieverse.,通往饼干宇宙的门…
TID_TIME_MACHINE_DISPLAYNAME,Time machine,时光机
TID_TIME_MACHINE_DESC,"Brings cookies from the past, before they were even eaten.",把已经吃掉的饼干变回来!
TID_ANTIMATTER_CONDENSER_DISPLAYNAME,Antimatter condenser,反物质堆
TID_ANTIMATTER_CONDENSER_DESC,Condenses the antimatter in the universe into cookies.,将宇宙中的反物质凝成饼干…
TID_PRISM_DISPLAYNAME,Prism,棱镜
TID_PRISM_DESC,Converts light itself into cookies.,神说:有光就有饼干!
TID_UPGRADE_DISPLAYNAME_REINFORCED_INDEX_FINGER,Reinforced index finger
TID_UPGRADE_DESC_REINFORCED_INDEX_FINGER,The mouse gains +1 cookie per click.Cursors gain +0.1 base CpS.prod prod
TID_UPGRADE_DISPLAYNAME_CARPAL_TUNNEL_PREVENTION_CREAM,Carpal tunnel prevention cream
TID_UPGRADE_DESC_CARPAL_TUNNEL_PREVENTION_CREAM,The mouse and cursors are twice as efficient.it... it hurts to click...
TID_UPGRADE_DISPLAYNAME_AMBIDEXTROUS,Ambidextrous
TID_UPGRADE_DESC_AMBIDEXTROUS,"The mouse and cursors are twice as efficient.Look ma, both hands!"
TID_UPGRADE_DISPLAYNAME_THOUSAND_FINGERS,Thousand fingers
TID_UPGRADE_DESC_THOUSAND_FINGERS,The mouse and cursors gain +0.1 cookies for each non-cursor object owned.clickity
TID_UPGRADE_DISPLAYNAME_MILLION_FINGERS,Million fingers
TID_UPGRADE_DESC_MILLION_FINGERS,The mouse and cursors gain +0.5 cookies for each non-cursor object owned.clickityclickity
TID_UPGRADE_DISPLAYNAME_BILLION_FINGERS,Billion fingers
TID_UPGRADE_DESC_BILLION_FINGERS,The mouse and cursors gain +2 cookies for each non-cursor object owned.clickityclickityclickity
TID_UPGRADE_DISPLAYNAME_TRILLION_FINGERS,Trillion fingers
TID_UPGRADE_DESC_TRILLION_FINGERS,The mouse and cursors gain +10 cookies for each non-cursor object owned.clickityclickityclickityclickity
TID_UPGRADE_DISPLAYNAME_FORWARDS_FROM_GRANDMA,Forwards from grandma
TID_UPGRADE_DESC_FORWARDS_FROM_GRANDMA,Grandmas gain +0.3 base CpS.RE:RE:thought you'd get a kick out of this ;))
TID_UPGRADE_DISPLAYNAME_STEEL_PLATED_ROLLING_PINS,Steel-plated rolling pins
TID_UPGRADE_DESC_STEEL_PLATED_ROLLING_PINS,Grandmas are twice as efficient.Just what you kneaded.
TID_UPGRADE_DISPLAYNAME_LUBRICATED_DENTURES,Lubricated dentures
TID_UPGRADE_DESC_LUBRICATED_DENTURES,Grandmas are twice as efficient.squish
TID_UPGRADE_DISPLAYNAME_CHEAP_HOES,Cheap hoes
TID_UPGRADE_DESC_CHEAP_HOES,Farms gain +1 base CpS.Rake in the dough!
